,Created at,User ID,Label,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
4,Mon Sep 19 21:42:39 +0000 2022,1.57198E+18,1,David Ornstein,🚨 Chelsea appointment of sporting director not imminent. #CFC optimism on Christoph Freund premature as RB Salzburg… https://t.co/cKM7fXtJhB,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
7,Sun Sep 18 20:15:27 +0000 2022,1.57159E+18,1,David Ornstein,🚨 Chelsea met with RB Leipzig chief Oliver Mintzlaff as they look to enhance structure. No immediate plan for CEO b… https://t.co/rIEqQadR1u,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
8,Sun Sep 18 19:45:44 +0000 2022,1.57159E+18,1,David Ornstein,🚨 EXCL: Everton open talks over new contract for Alex Iwobi. 26yo midfielder increasingly important to #EFC &amp; club… https://t.co/RGYbAP6fJI,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
16,Thu Sep 15 11:52:55 +0000 2022,1.57038E+18,1,David Ornstein,🚨 Brentford striker Ivan Toney set to be named in England squad (per @SamiMokbel81_DM). 26yo striker to get 1st int… https://t.co/DXCkaVKPaB,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
21,Mon Sep 12 08:20:46 +0000 2022,1.56924E+18,1,David Ornstein,"🚨 Arsenal head of emerging talent Yousuf Sajjad to leave role #AFC after 3yrs. Helped sign likes of Reuell Walters,… https://t.co/LTcZbRzvlu","Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
22,Mon Sep 12 07:05:15 +0000 2022,1.56922E+18,1,David Ornstein,"🔵 Chelsea made N’Golo Kante verbal offer last month of new 2+1y contract
🔵 31yo unwilling to accept, wants longer (… https://t.co/REfWprYUjU","Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
38,Wed Sep 07 09:07:29 +0000 2022,1.56744E+18,1,David Ornstein,🚨 BREAKING: Chelsea have parted company with manager Thomas Tuchel @TheAthleticUK #CFC https://t.co/198lUcr9Sh,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
39,Tue Sep 06 17:03:36 +0000 2022,1.5672E+18,1,David Ornstein,🚨 Southampton winger Nathan Redmond agrees 1yr deal with Besiktas. 28yo said goodbyes at #SaintsFC training ground… https://t.co/S5lpPsJn8q,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
41,Tue Sep 06 09:30:56 +0000 2022,1.56708E+18,1,David Ornstein,🚨 Wolves move for Diego Costa in balance after work permit application rejected. 33yo did not get enough points &amp;… https://t.co/1V11dOFV4X,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
43,Tue Sep 06 07:15:21 +0000 2022,1.56705E+18,1,David Ornstein,"🚨 EXCL: Nathan Redmond set to leave Southampton permanently. 28yo has lucrative offers from Besiktas, Fenerbahce, G… https://t.co/17np8pakb1","Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
