,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Sat Sep 24 08:35:46 +0000 2022,1573592012099649537,WatsUp TV,"He broke the record for the most expensive transfer twice at the age of 21.

At the age of 23, he had already score… https://t.co/zAV5D7Rs4q",A Pan - African Entertainment TV.  | (France🇫🇷 +33623854009) (Ghana🇬🇭 +233246510246) (Nigeria🇳🇬 +2349071758008) (CIV 🇨🇮 +22508913994) (Guinea🇬🇳 +224623607661),Africa.,15561,15,15851,http://pbs.twimg.com/profile_images/952934387410194432/aUsEFZWK_normal.jpg
1,Sat Sep 24 08:00:07 +0000 2022,1573583040319741952,LFCNews,Jurgen Klopp made error with Liverpool player as Â£5 million transfer felt pushed out by Thiago (Echo) https://t.co/skeVeT0ROE,,,3384,33,230023,http://pbs.twimg.com/profile_images/57179285/liverpool_normal.jpg
2,Sat Sep 24 07:54:00 +0000 2022,1573581500922077185,Chelsea FC News,"""That kind of player would score 20 to 25 goals in that team.""⚽️

https://t.co/ISb1SsuuYD

#CFC","All the latest Chelsea news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/BMoCoDImls…","London, England",276503,770,153323,http://pbs.twimg.com/profile_images/1298603485823479809/yjHKQDPi_normal.jpg
3,Sat Sep 24 07:17:01 +0000 2022,1573572195623882752,Lynn Hamer,Todd Boehly closes in on first Chelsea January transfer as player makes big move https://t.co/kI7YKO9y6Z via @NewsNowUK,"I was a Blues fan before plastic was invented. In case you're mistaken,I am male and married to @hoolewis,feel free to follow her too. https://t.co/vXvNxxZeK3","South Wales,UK",26720,9066,576170,http://pbs.twimg.com/profile_images/1529698739/IMG00128-20110501-1335_normal.jpg
4,Sat Sep 24 06:58:26 +0000 2022,1573567520010797056,Liverpool FC News,"Jurgen Klopp made error with Liverpool player as £5 million transfer felt pushed out by Thiago #LFC

https://t.co/obHUO45rSV","Liverpool FC news from the Liverpool ECHO. #LFC
Facebook - https://t.co/BJgwK08gjK
YouTube - https://t.co/R3PN4hgovs
News - https://t.co/wXcaxuC3bG",Liverpool,960384,646,461763,http://pbs.twimg.com/profile_images/1551488983363878913/ppKHk866_normal.jpg
5,Sat Sep 24 06:35:00 +0000 2022,1573561620038500352,Liverpool FC News,"What a player 😍 #LFC

https://t.co/tzZYMj5Vut","Liverpool FC news from the Liverpool ECHO. #LFC
Facebook - https://t.co/BJgwK08gjK
YouTube - https://t.co/R3PN4hgovs
News - https://t.co/wXcaxuC3bG",Liverpool,960384,646,461763,http://pbs.twimg.com/profile_images/1551488983363878913/ppKHk866_normal.jpg
6,Sat Sep 24 05:59:07 +0000 2022,1573552589400166401,The Denver Post,"For the second straight week, the CSU receiver room saw a player enter the transfer portal. https://t.co/gqOleEaT08",Colorado's source for breaking news and information. Get unlimited digital access https://t.co/1v4RgsBl4b or get the news sent straight to you https://t.co/sYORpoazmo.,"Denver, CO",476034,824,263205,http://pbs.twimg.com/profile_images/1011025399201927168/K8RRaEBZ_normal.jpg
7,Fri Sep 23 23:31:38 +0000 2022,1573455078094168064,Unkind_buckle,@KingDerah4 @Evald5G @bradz_runitup7 @RBNationManiac @nj_sibanda @SK10_Football Dude the PL is currently the better… https://t.co/c3whpLAx5m,,,147,254,5797,http://pbs.twimg.com/profile_images/1572896795625136128/Czebuf8F_normal.jpg
8,Fri Sep 23 22:55:29 +0000 2022,1573445979277348870,Sports Mole,Man City considering player-plus-cash offer for Rafael Leao? https://t.co/yHoDt2e5g5,The latest breaking sports news and live coverage around the clock.,Follow teams ➜ bit.ly/SM-Lists,40181,684,40017,http://pbs.twimg.com/profile_images/1572123242168557568/1E0kDINF_normal.jpg
9,Fri Sep 23 21:33:48 +0000 2022,1573425425296023552,Recite Social,@_Stats24 Your tweet was quoted in an article by Sportskeeda https://t.co/vx29gGL0mR,I am a bot that lets you know when your tweets are quoted in news articles. Follow to get articles in your timeline that quoted accounts you follow.,,23330,0,2100599,http://pbs.twimg.com/profile_images/912843066007986176/rtVKCTiv_normal.jpg
10,Fri Sep 23 21:33:46 +0000 2022,1573425416152440837,Recite Social,@FrankKhalidUK Your tweet was quoted in an article by Sportskeeda https://t.co/vx29gGL0mR,I am a bot that lets you know when your tweets are quoted in news articles. Follow to get articles in your timeline that quoted accounts you follow.,,23330,0,2100599,http://pbs.twimg.com/profile_images/912843066007986176/rtVKCTiv_normal.jpg
11,Fri Sep 23 20:36:15 +0000 2022,1573410942641373184,Cunning Foxes Sports,Manchester United Transfer News Roundup: Former player advises Cristiano Ronaldo to join Chelsea; Red Devils contem… https://t.co/RoRZ615hyy,"Brought to you by @cunningfoxes

We are the #TheFoxPack and we own #TheFoxBank

We bring you upto date on all things in the sport world!",Metaverse,2521,4995,44685,http://pbs.twimg.com/profile_images/1514146316963696642/68YV3r-T_normal.jpg
12,Fri Sep 23 19:39:13 +0000 2022,1573396585773416449,make-MONEY-online-2022,"@phume22 South Africa Football is so backwards.🤦‍♀️

In European leagues, when a club signs a player they tell🗣️us… https://t.co/UoZurrSNfi",I help with info on various ways to make money online. #makemoneyonline #money #affiliatemarketing  #business,Earth,0,20,56,http://pbs.twimg.com/profile_images/1573315206687735809/qzyTmsd2_normal.jpg
13,Fri Sep 23 19:35:36 +0000 2022,1573395677828321280,Chelsea FC News,"""That kind of player would score 20 to 25 goals in that team.""⚽️

https://t.co/ISb1SsuuYD

#CFC","All the latest Chelsea news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/BMoCoDImls…","London, England",276503,770,153323,http://pbs.twimg.com/profile_images/1298603485823479809/yjHKQDPi_normal.jpg
14,Fri Sep 23 19:29:51 +0000 2022,1573394231150149632,Jamie,"@Football__Tweet Taribo west , what a player , best free transfer ever on championship manager",Carpenter/Newcastle fan,stockwood,80,865,1210,http://pbs.twimg.com/profile_images/1497574359673810946/H7uY7IEB_normal.jpg
15,Fri Sep 23 19:17:35 +0000 2022,1573391141906644995,Arsenal News,Arsenal handed clear £89m transfer priority as Bukayo Saka wins England Player of the Year award: https://t.co/u6eqY5tFqp,Arsenal News App for IPhone and IPad (https://t.co/KAk6MGJztx),,2661,211,113400,http://pbs.twimg.com/profile_images/2729654851/f6c8defaf8dea8a30b0f3a877bc79153_normal.png
16,Fri Sep 23 19:09:11 +0000 2022,1573389029567070216,Mighty Tips,"Cartagena vs Deportivo Alaves Prediction 26.09.2022
La Liga 2

Carrasquilla from Houston is the only player who was… https://t.co/2nTXxAx2SZ","The best betting tips and advices
Telegram channel - https://t.co/VCNQLW8r06",Riga,1873,1032,27681,http://pbs.twimg.com/profile_images/1265228298382123008/VToUcpFU_normal.jpg
17,Fri Sep 23 18:57:04 +0000 2022,1573385981881090049,Sportskeeda Football,Manchester United are preparing to lock horns with bitter rivals Manchester City in the Premier League at the Etiha… https://t.co/7HzKpTVDip,Sportskeeda - For the hardcore sports fan. Follow us for all the latest football updates!,,12319,147,25344,http://pbs.twimg.com/profile_images/1481911869606866949/Cz4Iy774_normal.jpg
18,Fri Sep 23 18:10:00 +0000 2022,1573374134767079457,Leeds United News,"#LUFC transfer news and rumours 
https://t.co/JZWS9x47Ms",Subscribe to @LeedsNews for unlimited access to all the biggest news and sports stories in Leeds with 70% fewer ads: https://t.co/ktmTJXqcLX,"Leeds, England",41379,306,34711,http://pbs.twimg.com/profile_images/1389355963749126151/V6r9x509_normal.jpg
19,Fri Sep 23 16:46:07 +0000 2022,1573353024080457728,Gunners Today,Arsenal Transfer News Roundup: Former player not expecting Bukayo Saka to join Manchester City; William Saliba says… https://t.co/a72mlG2FAA,"Gunners Today has all the hottest Arsenal news, 24 hours a day, 365 days a year. It is the premier and biggest Arsenal news portal on the Internet.",,1262,170,48167,http://pbs.twimg.com/profile_images/561332800742096897/d9afkZEf_normal.png
20,Fri Sep 23 16:43:44 +0000 2022,1573352424726839296,Hermione Rufflebum 🇺🇦🌻😷💉😻,"@jallen1985 Gee, @tatereeves, is that anything like a massive transfer of taxpayer dollars earmarked for poor peopl… https://t.co/HPpB9O5Bae","Trekkie / Tech Nerd / Quixotic / Sesquipedalian / Cat mom to Tyson and Sagan / Profile pic 1990 / Background pic: Jansky VLA, c.2013",,459,85,33713,http://pbs.twimg.com/profile_images/1548500228117897216/mqpL6cF2_normal.jpg
21,Fri Sep 23 15:17:35 +0000 2022,1573330745086582785,Arsenal News,Bukayo Saka makes honest Jack Grealish admission after winning England Men's Player of the Year: https://t.co/gpB1WKmJZI,Arsenal News App for IPhone and IPad (https://t.co/KAk6MGJztx),,2661,211,113400,http://pbs.twimg.com/profile_images/2729654851/f6c8defaf8dea8a30b0f3a877bc79153_normal.png
22,Fri Sep 23 15:01:18 +0000 2022,1573326647771930624,Man City Today,Man City could finally sign player Pep Guardiola has already praised for nothing in the summer - Manchester Evening… https://t.co/Ce0jd1n7RM,Manchester City Latest Compilation News,Etihad Stadium,297,4,24634,http://pbs.twimg.com/profile_images/447749879616372737/T3agXW2Z_normal.jpeg
23,Fri Sep 23 14:58:28 +0000 2022,1573325933360168960,GoonerAgainsAparthei,"Saka's honest Grealish verdict after winning England Men's Player of the Year 

https://t.co/p9XYlE2yQU","Patron; Ronnie Kasrils, hero of the victory over Apartheid in SA",,438,1109,2770,http://pbs.twimg.com/profile_images/713383299989766145/C5yZb7vQ_normal.jpg
24,Fri Sep 23 14:43:39 +0000 2022,1573322206356115457,finished club,@ESPNUK @Marcotti @LaurensJulien The derisive laughter is exactly how these PR pieces should be received. Worst pla… https://t.co/dkUXPpuwra,MUFC,,20,28,3000,http://pbs.twimg.com/profile_images/1455905953082191879/QDWmVqFy_normal.jpg
25,Fri Sep 23 13:55:09 +0000 2022,1573310000520663042,George Smith,"Christian Eriksen has been crowned Manchester United's Player of the Month for September, winning 62 per cent of th… https://t.co/ePhc3ZlQWX","Senior football writer for the Manchester Evening News, covering Man City and Man United, part of Reach PLC. @Champchatpod24 pundit. Views are my own.",Sheffield,6272,2257,109919,http://pbs.twimg.com/profile_images/1131089129314369536/Xp3bbscU_normal.jpg
26,Fri Sep 23 13:55:00 +0000 2022,1573309962310361088,Man United News,Christian Eriksen has won Manchester United's in-house Player of the Month award for September #mufc… https://t.co/L3WdwsfuVC,💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293734,352,273540,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
27,Fri Sep 23 13:35:15 +0000 2022,1573304991582130177,David 🔰,@Mourinista__ @JackyHenchman Questions my standards by backing Maguire but backs Mourinho who wanted to sign him. 🤡… https://t.co/ODgyG3EYAb,"""It is in the fabric of this football club, it is in the soul of this football club! They never, never give up!""

#GlazersOut 🔰",,63,124,2484,http://pbs.twimg.com/profile_images/1532289053487415296/cj316as9_normal.jpg
28,Fri Sep 23 13:32:17 +0000 2022,1573304247655211009,Steve Cox,"Man City could sign player Guardiola has already praised for free in the summer https://t.co/hH10bGfLRE
It's worked… https://t.co/4qW6yD6rq5",,,1,40,230,http://pbs.twimg.com/profile_images/1482082165177389056/YQpeJWU7_normal.jpg
29,Fri Sep 23 12:14:58 +0000 2022,1573284789507215360,Homboi Paggy,@metaenforcer @CFCSPICE97 @AnelkaMaduka @SK10_Football Allowing Barca to sign someone's best player and refused the… https://t.co/R0Mb4hRAS9,,,629,531,35549,http://pbs.twimg.com/profile_images/1330372462819815424/pRkd20ih_normal.jpg
30,Fri Sep 23 11:51:38 +0000 2022,1573278918303485952,Football Scotland,"Joe Hart❓
David Turnbull❓
Kyogo❓

Every Celtic player's contract status as Hoops safeguard top assets 🍀✍️… https://t.co/ynm2JW3kre",All of the latest and breaking Scottish football news from @Football_Scot ⚽️🏴󠁧󠁢󠁳󠁣󠁴󠁿,Scotland,16945,459,34359,http://pbs.twimg.com/profile_images/1438848857698447360/VrAGTueU_normal.jpg
31,Fri Sep 23 11:01:59 +0000 2022,1573266421467217922,քǟɮɛʟ🇧🇩,@vini_ball Worst player out of this 3 is valued highest football transfer market is Broken,𝓝𝓸𝓽 𝓪 𝓜𝓪𝓷𝓬𝓱𝓮𝓼𝓽𝓮𝓻 𝓫𝓸𝓻𝓷 𝓪𝓷𝓭 𝓫𝓻𝓮𝓪𝓭 𝓫𝓾𝓽 𝓱𝓪𝓿𝓮 𝓤𝓷𝓲𝓽𝓮𝓭 𝓶𝔂 𝓗𝓮𝓪𝓻𝓽.𝓢𝓾𝓹𝓹𝓸𝓻𝓽 𝓽𝓱𝓮 𝓻𝓮𝓭 𝓼𝓲𝓭𝓮 𝓸𝓯 𝓜𝓪𝓷𝓬𝓱𝓮𝓼,United States,58,81,1865,http://pbs.twimg.com/profile_images/1573552314522423297/x19Z9sCN_normal.jpg
