,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Sat Sep 24 10:14:43 +0000 2022,1573616915502845952,𝕾𝖍𝖆𝖜𝖓𝖞 𝕭 𝕭𝖆𝖞 𝕭𝖆𝖞,@KebabGazz there’s a few of them on Sky Sports that haven’t got a clue there was one during the transfer deadline d… https://t.co/v4G94ccB6h,QPR - Horror - Wrestling,Hayes,1708,1011,72261,http://pbs.twimg.com/profile_images/1572100554028875776/rxVNM1F__normal.jpg
1,Sat Sep 24 09:36:07 +0000 2022,1573607199540133893,Danny Hall,"⚔️ ""A lot of interest"" on deadline day
⚔️ Living in a hotel surrounded by suitcases
⚔️ Talks Brugge, #lfc interest… https://t.co/5sVP9BAoiL","Sheffield United writer, @SheffieldStar 📰 | Owner/publisher @VerticalEds Books 📖 | 4x Author 📚 | 3x sports writer of the year 🏆 | Views are my own","Sheffield, UK",11224,300,39851,http://pbs.twimg.com/profile_images/1389506232143261696/3Co4X5oc_normal.jpg
2,Sat Sep 24 08:33:52 +0000 2022,1573591536687890432,Gerry Mc Dermott,Victor Orta bestows Leeds forward Willy Gnonto with an encouraging label https://t.co/FWu817R7zz,"Leeds United biggest supporter, football fanatic, all round good guy & a Tesco Ireland employee!","Galway, Ireland",5145,5648,133626,http://pbs.twimg.com/profile_images/3312146777/e9b31826217264c67f2752ce12583ee0_normal.jpeg
3,Sat Sep 24 08:11:00 +0000 2022,1573585779208556544,Leeds United News,"Watch this space, says Victor Orta. #lufc 

https://t.co/9dtDOvouWI",Subscribe to @LeedsNews for unlimited access to all the biggest news and sports stories in Leeds with 70% fewer ads: https://t.co/ktmTJXqcLX,"Leeds, England",41381,306,34713,http://pbs.twimg.com/profile_images/1389355963749126151/V6r9x509_normal.jpg
4,Sat Sep 24 07:35:53 +0000 2022,1573576944402436097,.,@FUCKUTR0LL @sydneyswans Definitely didn’t have a major headloss on deadline day and tell the chairman of my footba… https://t.co/N7vD3Yxn1j,Palarse,,118,238,308,http://pbs.twimg.com/profile_images/1573288588867149831/c5neGTl5_normal.jpg
5,Sat Sep 24 07:10:00 +0000 2022,1573570428026716161,Leeds United News,"Victor Orta hoping Willy Gnonto can be something of a surprise package at #LUFC. 

https://t.co/9dtDOv6U5a",Subscribe to @LeedsNews for unlimited access to all the biggest news and sports stories in Leeds with 70% fewer ads: https://t.co/ktmTJXqcLX,"Leeds, England",41381,306,34713,http://pbs.twimg.com/profile_images/1389355963749126151/V6r9x509_normal.jpg
6,Sat Sep 24 06:54:36 +0000 2022,1573566553055952896,Shaun,Victor Orta breaks silence on Leeds United's deadline day disappointment amid Willy Gnonto label https://t.co/UdDBQr6VYA,⚽⚽LUFC ⚽⚽ Yorkshire born and bred.           Follow for regular LUFC News updates and stories.,,1377,666,40650,http://pbs.twimg.com/profile_images/3568011486/edc81b2ff21352bd85af383aca467ade_normal.jpeg
7,Sat Sep 24 05:30:23 +0000 2022,1573545359690944512,Sgt Wilkos 1919,Victor Orta breaks silence on #Leeds United's deadline day disappointment amid Willy Gnonto label https://t.co/MrhuP4bUaW,Sgt Wilkos 1919 💙💛 All things #LUFC. Unique Leeds Utd clothing #MOT #ALAW #LeedsUnited,,1080,1561,21907,http://pbs.twimg.com/profile_images/1141440828595986435/oEv3RTfn_normal.jpg
8,Sat Sep 24 05:30:00 +0000 2022,1573545263297269760,Sunderland Echo SAFC,"𝗞𝗿𝗶𝘀𝘁𝗷𝗮𝗮𝗻 𝗦𝗽𝗲𝗮𝗸𝗺𝗮𝗻

🗣️“Our model was to design a team to play 4-3-3 that had the flexibility to play 3-4-3 and 3-5-… https://t.co/JDqwgpYmgz","The latest SAFC news, opinion, analysis from the city's newspaper, the Sunderland Echo. Follow our writers: @Phil__Smith, @Joe_Nicholson96 & @JamesCopley_.",Sunderland,16356,474,106007,http://pbs.twimg.com/profile_images/1554452040549556228/F3A3c31E_normal.jpg
9,Sat Sep 24 05:24:00 +0000 2022,1573543752991391744,Leeds United Fans,Victor Orta breaks silence on Leeds United's deadline day disappointment amid Willy Gnonto label #EveningPost… https://t.co/HE8scHeQ3U,Leeds United Football Club News & Blogs! Fan Page NOT linked to Official Club #WeAreLeeds #Leeds #LeedsUtd #LeedsLeedsLeeds #LeedsUnited #LUFC #MOT,,6219,1782,71293,http://pbs.twimg.com/profile_images/920155009752317953/6wCeYPyb_normal.jpg
