,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Fri Sep 23 06:56:43 +0000 2022,1573204696965304320,David Ornstein,🚨 Harry Maguire in line to start for England v Italy in #NationsLeague. 29yo centre-back having tough spell at Man… https://t.co/qpdaUO9gYL,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
1,Tue Sep 20 09:04:36 +0000 2022,1572149716883804161,David Ornstein,@SebSB @TheAthleticUK 👏❤️,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
2,Tue Sep 20 07:44:30 +0000 2022,1572129560250007552,David Ornstein,@AdamCrafton_ @TheAthleticUK Love this 🍿,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
3,Tue Sep 20 07:35:07 +0000 2022,1572127199976644609,David Ornstein,"RT @TheAthleticUK: 𝐄𝐱𝐜𝐥𝐮𝐬𝐢𝐯𝐞 𝐢𝐧𝐭𝐞𝐫𝐯𝐢𝐞𝐰: @B_Fernandes8

Bruno Fernandes insists his form wasn’t impacted by Cristiano Ronaldo last season an…","Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
4,Mon Sep 19 21:42:39 +0000 2022,1571978098442371072,David Ornstein,🚨 Chelsea appointment of sporting director not imminent. #CFC optimism on Christoph Freund premature as RB Salzburg… https://t.co/cKM7fXtJhB,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
5,Mon Sep 19 06:45:18 +0000 2022,1571752275592486912,David Ornstein,🚨 Chelsea spoke to Leipzig ceo Oliver Mintzlaff about taking a role in new #CFC set-up. Not advancing but Christoph… https://t.co/FV6Wg6A7On,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
6,Sun Sep 18 20:45:44 +0000 2022,1571601386109796352,David Ornstein,"⚽️ Clubs explore #UCL games beyond Europe @AdamCrafton_
⚽️ Ten Hag eyes Jan deals but #MUFC summer @lauriewhitwell… https://t.co/QBY4GWpBCJ","Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
7,Sun Sep 18 20:15:27 +0000 2022,1571593768654065667,David Ornstein,🚨 Chelsea met with RB Leipzig chief Oliver Mintzlaff as they look to enhance structure. No immediate plan for CEO b… https://t.co/rIEqQadR1u,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
8,Sun Sep 18 19:45:44 +0000 2022,1571586290487021568,David Ornstein,🚨 EXCL: Everton open talks over new contract for Alex Iwobi. 26yo midfielder increasingly important to #EFC &amp; club… https://t.co/RGYbAP6fJI,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
9,Sun Sep 18 19:31:35 +0000 2022,1571582729548107779,David Ornstein,🚨 Kalvin Phillips set to undergo surgery on shoulder injury next week. There is optimism among Manchester City + En… https://t.co/uukBuH3qgF,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
10,Sun Sep 18 09:39:26 +0000 2022,1571433708652986369,David Ornstein,🚨 Martin Odegaard misses Arsenal trip to Brentford with knock from training last weekend which didn’t allow captain… https://t.co/2RcEvWsalN,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
11,Sat Sep 17 10:05:39 +0000 2022,1571077916402020352,David Ornstein,"⚽️ Is Todd Boehly idea for a Premier League North v South All-Star game realistic?

⚽️ Will Jurgen Klopp build anot… https://t.co/BlFggEAgLo","Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
12,Fri Sep 16 08:33:42 +0000 2022,1570692392101253121,David Ornstein,@RoshaneSport Well deserved 🌟,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
13,Thu Sep 15 12:32:38 +0000 2022,1570390131634233345,David Ornstein,"Correction - these are of course Nations League fixtures, not friendlies, and for national teams who reach Euro 202… https://t.co/dbndO3c3Oy","Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
14,Thu Sep 15 12:08:22 +0000 2022,1570384026803773442,David Ornstein,@johncrossmirror @Matt_Law_DT @SamiMokbel81_DM @TheAthleticUK Used to think it meant “hold tight” (as in what garag… https://t.co/3posKlCOVM,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
15,Thu Sep 15 11:57:20 +0000 2022,1570381249835077633,David Ornstein,"@Matt_Law_DT @SamiMokbel81_DM @TheAthleticUK As per, per, hat tip, h/t, 1st reported by, with the scoop, follows, a… https://t.co/BWlkFSAuDF","Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
16,Thu Sep 15 11:52:55 +0000 2022,1570380138151550979,David Ornstein,🚨 Brentford striker Ivan Toney set to be named in England squad (per @SamiMokbel81_DM). 26yo striker to get 1st int… https://t.co/DXCkaVKPaB,"Football Correspondent, @TheAthleticUK",UK,1699313,1970,6861,http://pbs.twimg.com/profile_images/1178558529105530880/Qvy-hv3O_normal.jpg
