,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Sat Sep 24 07:30:57 +0000 2022,1573575701663457283,Transfer News Live,"🚨 Newcastle remain interested in James Maddison and are planning to go in for him again in January. 

(Source: Sun… https://t.co/b2GXUF7Utn","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
1,Sat Sep 24 07:11:05 +0000 2022,1573570700132114433,Transfer News Live,🚨 The Premier League is in early discussions over potentially making a Drive to Survive-style Netflix series. No ad… https://t.co/l5SJaQESXq,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
2,Fri Sep 23 08:22:30 +0000 2022,1573226287237406725,Transfer News Live,🚨 Mathias Pogba has once again asserted that his brother used a witch-doctor to curse Kylian Mbappé during PSG-Manc… https://t.co/ye8NsbFlxV,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
3,Fri Sep 23 08:21:50 +0000 2022,1573226116785094657,Transfer News Live,"🚨 Mathias Pogba: “My brother, Paul, this hypocritical, sneaky and criminal man. The masks will fall like R. Kelly,… https://t.co/Jioyk52YH5","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
4,Fri Sep 23 08:19:24 +0000 2022,1573225506383986688,Transfer News Live,"🚨 Mathias Pogba has claimed his brother Paul used the witch-doctor thanks to Serge Aurier, who recommended his serv… https://t.co/wnk2yRMFVY","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
5,Thu Sep 22 18:06:32 +0000 2022,1573010875455524864,Transfer News Live,"🚨 Barcelona are considering their options to replace Sergio Busquets, who is leaving at the end of the season.

The… https://t.co/3gqe9SIrkG","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
6,Thu Sep 22 13:12:13 +0000 2022,1572936807838519297,Transfer News Live,"📝 DEAL DONE: Derby County have appointed Paul Warne as the club's new manager on a contract until June 2026.

(Sour… https://t.co/ySq7PuuKE4","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
7,Thu Sep 22 10:13:54 +0000 2022,1572891934586273792,Transfer News Live,"📝 DEAL DONE: Mark Noble is to return to West Ham in the role of Sporting Director from January. ⚒️

(Source:… https://t.co/4uIDAyjEsU","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
8,Thu Sep 22 07:11:18 +0000 2022,1572845979921154049,Transfer News Live,🚨 Real Madrid no longer intend to go back in for Kylian Mbappé. Florentino Perez feels deceived and betrayed after… https://t.co/TahTs3bHh8,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
9,Wed Sep 21 14:25:10 +0000 2022,1572592780391620611,Transfer News Live,"📝 𝐃𝐄𝐀𝐋 𝐃𝐎𝐍𝐄: Elliot Anderson has signed a new long-term contract with Newcastle United.

(Source: @NUFC) https://t.co/zvvX43yIpr","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
10,Wed Sep 21 14:22:01 +0000 2022,1572591985453862913,Transfer News Live,🚨 Juventus are now considering sacking Max Allegri and have made contact with Antonio Conte's representatives about… https://t.co/ovjWK5E3A0,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
11,Wed Sep 21 13:31:42 +0000 2022,1572579324053835776,Transfer News Live,📝 𝐃𝐄𝐀𝐋 𝐃𝐎𝐍𝐄: Serie B side Benevento have appointed Fabio Cannavaro as the club's new head coach on a two-year deal.… https://t.co/JEMzkO9vQ5,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
12,Wed Sep 21 13:30:37 +0000 2022,1572579051142774786,Transfer News Live,"🚨 KFC are threatening to sue the French Federation because of Kylian Mbappé's refusal to promote the brand:

🎙️ KFC… https://t.co/DkHVUTEfjz","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
13,Wed Sep 21 13:01:37 +0000 2022,1572571753376800770,Transfer News Live,"🚨 Thomas Tuchel is keen to get straight back into management and he would be interested in the Bayern job, should i… https://t.co/rz6egdyfc5","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
14,Wed Sep 21 08:04:03 +0000 2022,1572496867073863686,Transfer News Live,"🚨 Lionel Messi's demands for a contract extension at Barça in 2020:

- €10m signing bonus
- €10,000 release clause… https://t.co/jUR5KhfOfl","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
15,Wed Sep 21 07:44:20 +0000 2022,1572491906000601091,Transfer News Live,"🚨 Sergio Busquets is expected to sign for Inter Miami when he leaves Barcelona next summer. 🇪🇸🇺🇸

(Source: @sport) https://t.co/LLLvq7mCN6","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
16,Wed Sep 21 06:49:42 +0000 2022,1572478156514414592,Transfer News Live,"🚨 Real Madrid, Liverpool, Man City, Man United, Chelsea are all strongly interested in signing Jude Bellingham next… https://t.co/g7SfkULlcN","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
17,Wed Sep 21 06:14:31 +0000 2022,1572469304314175488,Transfer News Live,"🚨 Sergio Busquets will leave Barcelona next summer. This is his final season at the club.

(Source: @sanantheone)… https://t.co/RHR7eLTpUE","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
18,Tue Sep 20 21:03:39 +0000 2022,1572330673972576256,Transfer News Live,"🚨 Photo confirmation of Roberto De Zerbi’s appointment as Brighton’s new head coach. 

(📸 @OfficialBHAFC) https://t.co/mz3H3g3x7w","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
19,Tue Sep 20 15:23:53 +0000 2022,1572245165921673216,Transfer News Live,🚨 Jack Grealish has told those around him that he doesn’t expect to stay at Manchester City beyond next summer and… https://t.co/BEKT0CaEFE,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
20,Tue Sep 20 14:58:11 +0000 2022,1572238700716720128,Transfer News Live,"🚨 𝗢𝗙𝗙𝗜𝗖𝗜𝗔𝗟! Russia have been excluded from EURO 2024 qualifiers because of the ongoing war in Ukraine! ❌🇷🇺

(Source… https://t.co/nhs6F5vIAu","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
21,Tue Sep 20 13:20:38 +0000 2022,1572214151451381766,Transfer News Live,"🚨 Mini-tournament being considered by UEFA:

▪️ 4 teams to participate
▪️ Will be played before start of each seaso… https://t.co/pXdaF7qwAC","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
22,Tue Sep 20 13:12:20 +0000 2022,1572212060846538753,Transfer News Live,"🚨 Some top European clubs are open to #UCL matches taking place in the US, China or Middle East. 

UEFA are already… https://t.co/V46r7Hnnow","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
23,Tue Sep 20 12:45:51 +0000 2022,1572205397678637056,Transfer News Live,"🚨 Mauricio Pochettino is convinced by the OGC Nice project! 🇦🇷 

The French club have begun contractual discussions… https://t.co/T9ze4eLuik","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
24,Tue Sep 20 08:39:43 +0000 2022,1572143455563833349,Transfer News Live,"🚨 Inter and AC Milan have decided to demolish the San Siro for the construction of a new stadium, which will be rea… https://t.co/OV0ZQJhtxG","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
25,Tue Sep 20 08:26:15 +0000 2022,1572140064830033920,Transfer News Live,"🚨 Paul Pogba and his mother have been placed under police protection in Italy!

(Source: @RMCsport) https://t.co/nLP8khXFge","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
26,Tue Sep 20 08:15:12 +0000 2022,1572137286690836480,Transfer News Live,🚨 Bayern Munich could activate a secret clause in Julien Nagelsmann's contract in order to sack him if their poor f… https://t.co/F85vBMs8zQ,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
27,Tue Sep 20 06:53:44 +0000 2022,1572116786144858112,Transfer News Live,"🚨 Luis Suárez will leave Nacional at the end of October when the Uruguayan League finishes. 

(Source: ESPN) https://t.co/pt2g1mJ9Ve","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
28,Tue Sep 20 06:37:30 +0000 2022,1572112697486966785,Transfer News Live,"🚨 Clubs that overpay the most for their players compared to their real market value:

🥇 Man Utd +€238M
🥈 Juventus +… https://t.co/5JLeGjTXKo","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
29,Tue Sep 20 06:32:11 +0000 2022,1572111360493862915,Transfer News Live,"🚨 The Emir of Qatar, owner of PSG, would like to buy Sampdoria. 🇮🇹

(Source: ANSA) https://t.co/lMeDDUaI30","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
30,Tue Sep 20 06:29:41 +0000 2022,1572110730962571272,Transfer News Live,"🚨 Meeting scheduled today between OGC Nice and Mauricio Pochettino!

The French club want the former PSG head coach… https://t.co/IS5oXMzJVO","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
31,Sun Sep 18 07:56:06 +0000 2022,1571407702383030272,Transfer News Live,🚨 Inter are in talks with Chelsea to re-sign Romelu Lukaku on loan at the end of the season for another year for €8… https://t.co/NcZO0mA0PZ,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
32,Sun Sep 18 07:45:53 +0000 2022,1571405131861688326,Transfer News Live,"🚨 UEFA have an offer to relocate the final of the Champions League to the United States soon. 🇺🇸 

(Source: @diarioas)","📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
33,Sat Sep 17 21:06:41 +0000 2022,1571244272694730752,Transfer News Live,🚨 Mathias Pogba has been indicted and is being held in prison for the duration of the investigation into the attemp… https://t.co/Nq67kX3K3G,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
34,Sat Sep 17 08:03:00 +0000 2022,1571047051177201664,Transfer News Live,🚨 The best transfer in the history of football is ___________,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
35,Fri Sep 16 10:03:00 +0000 2022,1570714862275239937,Transfer News Live,🚨 The worst transfer in the history of football is ___________,"📝 The biggest, and the best. Bringing you all the latest news and updates, all year round. 18+",twittersupplement@gmail.com,1480991,184,61008,http://pbs.twimg.com/profile_images/1430543691450552322/tx7jBgnL_normal.jpg
