,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Sat Sep 24 10:35:20 +0000 2022,1573622104896978945,Fabrizio Romano,"RT @FabrizioRomano: Here’s Neymar when asked about Kylian Mbappé after Brazil game tonight. 🇧🇷🇫🇷 #PSG

Here @ojbsports question and Ney’s a…",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
1,Sat Sep 24 10:34:21 +0000 2022,1573621855512154112,Fabrizio Romano,"Leo Messi on his new PSG life: “I feel good, I feel different from last year. I knew it was going to be like this”.… https://t.co/BNnPPu1vx9",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
2,Sat Sep 24 07:42:00 +0000 2022,1573578481178275840,Fabrizio Romano,"Despite club statement, many sources guarantee that Mauricio Pochettino was approached by OGC Nice in the last few… https://t.co/M6UuGZcUfJ",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
3,Fri Sep 23 22:33:42 +0000 2022,1573440496772743168,Fabrizio Romano,"Here’s Neymar when asked about Kylian Mbappé after Brazil game tonight. 🇧🇷🇫🇷 #PSG

Here @ojbsports question and Ney… https://t.co/9HOYLTJgT5",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
4,Fri Sep 23 22:04:23 +0000 2022,1573433120917168129,Fabrizio Romano,Sergio Busquets on his future: “I’ve not made any decision yet. It’s not sure yet that I’ll leave Barcelona in June… https://t.co/zSW6gyLkuJ,Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
5,Fri Sep 23 20:04:37 +0000 2022,1573402980552146945,Fabrizio Romano,"Kostas Manolas, unveiled as new Sharjah FC player — he’s joining on permanent deal from Olympiacos. 🇦🇪🇬🇷🤝 #transfers https://t.co/unu2XhnnCu",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
6,Fri Sep 23 14:11:32 +0000 2022,1573314125555707905,Fabrizio Romano,Official. Brazilian star João Pedro has signed a new contract with Watford valid until June 2028. 🚨🟡⚫️🇧🇷 #WatfordFC… https://t.co/EQgT098817,Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
7,Fri Sep 23 13:55:47 +0000 2022,1573310158830276609,Fabrizio Romano,"OGC Nice president Rivère: “We are not going to change manager after just eight days. No one at the club contacted,… https://t.co/Omqzkl4lKH",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
8,Fri Sep 23 13:42:52 +0000 2022,1573306909666734080,Fabrizio Romano,"Official, confirmed. Kostas Manolas joins Sharjah FC on permanent deal from Olympiacos, he's now gonna play in UAE… https://t.co/bo0W95QFon",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
9,Fri Sep 23 11:00:03 +0000 2022,1573265933858377728,Fabrizio Romano,Robin Gosens tells @Sport1: “There were talks with Bayer Leverkusen in the summer but I told them I wanted to stay… https://t.co/jrwbA5V8NS,Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
10,Fri Sep 23 09:22:00 +0000 2022,1573241259174551553,Fabrizio Romano,"RB Leipzig are interested in Dinamo Zagreb's centre back Josip Šutalo. There are more than three clubs in the race,… https://t.co/kV873bz8R8",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
11,Fri Sep 23 07:05:00 +0000 2022,1573206782134157318,Fabrizio Romano,"There's a release clause included into Kim Min-jae's contract with Napoli, after deal completed during the summer w… https://t.co/fDV9XGFkDC",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
12,Thu Sep 22 22:48:28 +0000 2022,1573081827014852611,Fabrizio Romano,Eden Hazard on his moment at Real Madrid: “It’s a delicate situation as I want to play more. I feel good at Real Ma… https://t.co/ANgQtgZ6we,Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
13,Thu Sep 22 20:47:37 +0000 2022,1573051412829065216,Fabrizio Romano,"Special debut for Holland tonight. Kenneth Taylor, on his first match with the national team — top talent who’s doi… https://t.co/MXrLQjMrCe",Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
14,Thu Sep 22 15:41:17 +0000 2022,1572974323232546823,Fabrizio Romano,Thiago Silva answers on playing until he’s 40: “It depends on this season and we’ll see what will happen in the Wor… https://t.co/gZVFCCIKxU,Here we go! ©,"Milano, Italia",12102412,2160,20399,http://pbs.twimg.com/profile_images/1486761402853380113/3ifAqala_normal.jpg
