,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Sun Sep 18 19:00:24 +0000 2022,1571574880180502530,Transfer News,@melt77 Horrible.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
1,Sun Sep 18 18:33:28 +0000 2022,1571568103301214208,Transfer News,"Disgusting scenes in Madrid tonight. Hundreds, if not thousands, of Atletico fans chanting “you are a monkey Vinici… https://t.co/DpEUpwWI9M",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
2,Sun Sep 18 18:20:33 +0000 2022,1571564852237438976,Transfer News,"@MaxOrmerod @redick_burner @OllieTheGunner Fair point bud 😂 selective memory on my part, I guess.",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
3,Sun Sep 18 18:16:45 +0000 2022,1571563896514969600,Transfer News,@redick_burner @OllieTheGunner What the fuck you chatting about? Since the Man U game we hadn’t lost til today. Bat… https://t.co/2I6FZeMlb1,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
4,Sun Sep 18 18:08:56 +0000 2022,1571561927461031937,Transfer News,@bhavss14 Hope so bud. Finishing just outside the top half would be another good season for us. Top half would be massive progress.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
5,Sun Sep 18 13:11:01 +0000 2022,1571486955669524482,Transfer News,@AFC_Yusuf Haha.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
6,Sun Sep 18 13:10:24 +0000 2022,1571486798756384769,Transfer News,@olafrecords Too good unfortunately. Thought we might get something when I saw the team sheets.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
7,Sun Sep 18 13:09:27 +0000 2022,1571486562390609920,Transfer News,"@OllieTheGunner Yeah, we don’t get beat that easy. Even against top teams we always look competitive. That was very one sided today.",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
8,Sun Sep 18 13:01:05 +0000 2022,1571484456372015109,Transfer News,We haven’t been dominated like that in several months. The last one I can recall is probably the 0-2 against Man Ci… https://t.co/FGruTCmgsr,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
9,Sat Sep 17 11:53:42 +0000 2022,1571105109018550272,Transfer News,"@AFC_powell Well he didn’t score it from behind the goal, did he?",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
10,Sat Sep 17 11:50:33 +0000 2022,1571104315351404545,Transfer News,I’ve been watching football for a long time and Erling Haaland is easily one of the best strikers I’ve ever seen.… https://t.co/vnvm7rj5hr,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
11,Thu Sep 15 15:34:45 +0000 2022,1570435964824354817,Transfer News,@Vintage_eraa Because I saw a fake England squad and thought it was real? Alright.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
12,Thu Sep 15 15:33:59 +0000 2022,1570435771986857984,Transfer News,@D1_FPL I agree with you.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
13,Thu Sep 15 15:31:55 +0000 2022,1570435249854636034,Transfer News,@HighburyHeart Happy to accept the L. Some virgin had made a fake squad and changed his Twitter name. I thought it… https://t.co/pcsgD9TrRU,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
14,Thu Sep 15 15:29:49 +0000 2022,1570434722211442688,Transfer News,@cris7goattt There’s still some players missing that should definitely be there. But not quite as bad as I first thought.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
15,Thu Sep 15 15:28:57 +0000 2022,1570434504409456641,Transfer News,@Wildin9 He’s been quality. Amazed White hasn’t made it too. What has Coady done to merit a spot?,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
16,Thu Sep 15 15:27:04 +0000 2022,1570434029798789120,Transfer News,@cry0geni Haha. I was so angry when I saw it.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
17,Thu Sep 15 15:25:59 +0000 2022,1570433757051781121,Transfer News,"@cxl_wwfc Just questioned why certain players weren’t in the squad, but they are in the actual squad.",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
18,Thu Sep 15 15:25:06 +0000 2022,1570433533960667138,Transfer News,Haha. I’ve been duped. I saw a fake England squad that was missing a few obvious picks. Ignore my last tweet.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
19,Thu Sep 15 12:02:27 +0000 2022,1570382536748208132,Transfer News,"Ivan Toney has been called up to the England squad. Two years later than he should have been, but better late than never.",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
20,Mon Sep 12 10:54:40 +0000 2022,1569278314979753988,Transfer News,Juventus had a 95th minute winner disallowed last night because the VAR only checked for offside on players in the… https://t.co/DtMqCWGleB,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
21,Wed Sep 07 09:38:49 +0000 2022,1567447285033746432,Transfer News,@LutherBees Couldn’t happen to a more deserving club.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
22,Wed Sep 07 09:35:41 +0000 2022,1567446496391340037,Transfer News,Hahahahahahahahaha. https://t.co/638KaCSvnP,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
23,Sat Sep 03 15:34:35 +0000 2022,1566087266409250819,Transfer News,@OfficialFPL Not me. 💪🏻 https://t.co/I8EkYlG2GX,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
24,Sat Sep 03 15:30:49 +0000 2022,1566086318303723522,Transfer News,"@Michael_Damon_ I agree, I’m amazed Man Utd didn’t try for him. Same for Chelsea. He’s exactly what they’re both mi… https://t.co/0UKK31RY8l",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
25,Sat Sep 03 15:29:17 +0000 2022,1566085932524126208,Transfer News,"@RJHarle No, definitely not. He needed to get his confidence up and be the main man.",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
26,Sat Sep 03 15:25:40 +0000 2022,1566085022012116992,Transfer News,"@olafrecords He would have been a top signing for Arsenal, Man Utd or Chelsea. Even Liverpool would have been bette… https://t.co/l7RhWdAHmU",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
27,Sat Sep 03 15:24:04 +0000 2022,1566084618163572738,Transfer News,@nordofallnords All three goals world class.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
28,Sat Sep 03 15:23:34 +0000 2022,1566084492162392064,Transfer News,@LocoComoUnPollo Nobody made a bid for him. Newcastle asked about his availability and didn’t follow it up.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
29,Sat Sep 03 15:21:56 +0000 2022,1566084082827726849,Transfer News,"@DonBergkamp He improves any team in the world except Man City, Barcelona, PSG or Real Madrid.",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
30,Sat Sep 03 15:19:38 +0000 2022,1566083505821474822,Transfer News,"All of the top clubs had their chance to sign Ivan Toney for £40-45million. 

The price is now £100million and it’s still a bargain.",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
31,Thu Sep 01 22:04:49 +0000 2022,1565460696749559809,Transfer News,I’ve been TC. Over and out. https://t.co/oKR8fmYcsQ,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
32,Thu Sep 01 22:04:14 +0000 2022,1565460548224950272,Transfer News,"FUCK YOU to every single Man Utd fan who spent the whole summer sending me vile, awful abuse every time I said Fren… https://t.co/XwOxwUVtBm",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
33,Thu Sep 01 22:00:12 +0000 2022,1565459535225028611,Transfer News,I hope you’re ready for this…,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
34,Thu Sep 01 21:31:47 +0000 2022,1565452383244648449,Transfer News,@GoonerAJ98 You’re right. This is all my fault.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
35,Thu Sep 01 21:30:48 +0000 2022,1565452136623792130,Transfer News,Deal now thought to be dead. #AFC #AVFC https://t.co/dsAsLBKMtS,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
