,Created at,User ID,Label,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
30,Sat Sep 03 15:19:38 +0000 2022,1.56608E+18,0,Transfer News,"All of the top clubs had their chance to sign Ivan Toney for £40-45million. 

The price is now £100million and it’s still a bargain.",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
37,Thu Sep 01 20:45:28 +0000 2022,1.56544E+18,1,Transfer News,Arsenal have made a third and final bid of £25million for Aston Villa midfielder Douglas Luiz. Previous bids of £20… https://t.co/wmlNcHLKZm,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
42,Thu Sep 01 19:18:36 +0000 2022,1.56542E+18,0,Transfer News,"No confirmation from Aston Villa side, but on Arsenal’s side they believe they’ve done enough to secure Douglas Lui… https://t.co/0r1XVrI5yv",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
58,Thu Sep 01 17:02:43 +0000 2022,1.56538E+18,0,Transfer News,"Liverpool have failed with an attempt to sign Douglas Luiz from Aston Villa.

Player has an agreement in place on p… https://t.co/bKfLRQwi7Z",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
65,Thu Sep 01 14:06:15 +0000 2022,1.56534E+18,0,Transfer News,"Arsenal have agreed personal terms with Douglas Luiz in the last hour. Fee still being discussed between clubs.

As… https://t.co/G7uYG1LBZp",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
67,Thu Sep 01 11:39:33 +0000 2022,1.5653E+18,1,Transfer News,"Bernardo Silva has confirmed he is staying at Man City, as I reported a fortnight ago.

Discussions will now begin… https://t.co/riUtRC4ITK",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
70,Thu Sep 01 11:27:32 +0000 2022,1.5653E+18,0,Transfer News,Both of these now considered dead. Danilo agreed terms but Palmeiras extremely reluctant to sell this summer. Reps… https://t.co/WdhPEB6YNt,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
83,Wed Aug 31 14:33:16 +0000 2022,1.56498E+18,0,Transfer News,@HuzyImran93 We’ve been linked with Mudryk since January. Everton have made a bid too.,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
85,Wed Aug 31 14:30:03 +0000 2022,1.56498E+18,0,Transfer News,"Arsenal still in talks to sign both Danilo and Mykhaylo Mudryk before deadline.

Discussions with Palmeiras progres… https://t.co/Zpjigc3C3n",🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
92,Tue Aug 30 23:48:42 +0000 2022,1.56476E+18,0,Transfer News,Mykhaylo Mudryk now considered high up on Arsenal’s list and a move could possibly materialise if it can be done at… https://t.co/xkonHGrQGL,🐝,,208098,48,11174,http://pbs.twimg.com/profile_images/1289681059102232577/hWpnjUQ4_normal.jpg
