,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Sat Sep 24 11:05:00 +0000 2022,1573629568136712192,Man United News,"Manchester United could have found their long term replacement for Christian Eriksen #mufc 
https://t.co/aoPF3aHCak",💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293823,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
1,Sat Sep 24 11:04:04 +0000 2022,1573629333603852288,$NDEV,Investor Sues Korean Crypto Exchange for Delaying Coin Transfer Before Luna Crash https://t.co/M1i5X2wOEN #daytrade… https://t.co/htL8xL5l8T,Health Plans that include cannabis for the med and rec user. $NDEV #CannabisHealthPlan,,6515,8620,112021,http://pbs.twimg.com/profile_images/1567182287216812040/JpBhdLe1_normal.jpg
2,Sat Sep 24 11:00:34 +0000 2022,1573628453387390977,Sport Tweets,“No one wants to see a player they’ve seen grow up go to Chelsea” – Ex-Arsenal defender opens up on being ‘upset’ w… https://t.co/vtThhRJvTt,"Sports tweets all day, every day 😍",United Kingdom,12876,12942,6060,http://pbs.twimg.com/profile_images/1462111069497868297/Lvj2zYuk_normal.jpg
3,Sat Sep 24 11:00:25 +0000 2022,1573628415504224259,ᴛᴇᴄʜ ɪɴᴊᴇᴋᴛɪᴏɴ 🖥 💉 🤖,"#Tech #NewsFlash 09/24
Android File Transfer Not Working? Try These Fixes - Tech News Today
https://t.co/S2EZyEcif7
#Technology #Bot #News","I tweet about Tech news, programmer jokes, quotes and cool stuff on APIs, Python, ReactJs, Linux along with useful tips and code samples for developers.",127.0.0.1,937,1,150427,http://pbs.twimg.com/profile_images/1260798654056710145/leIPdFXr_normal.jpg
4,Sat Sep 24 11:00:14 +0000 2022,1573628367827607554,LFCNews,Liverpool will 'continue to monitor' Â£50m-rated midfielder who has  hinted at transfer interest (Echo) https://t.co/iJX67cWILz,,,3384,33,230032,http://pbs.twimg.com/profile_images/57179285/liverpool_normal.jpg
5,Sat Sep 24 11:00:03 +0000 2022,1573628322445086720,Rajasthan Patrika,"27 साल में भी नहीं बन पाई शिक्षक तबादला नीति,शिक्षक कर रहे तबादले किए जाने की मांग https://t.co/Tnw5q2v9pv",The Official Rajasthan Patrika (राजस्थान पत्रिका)  Twitter Account. News with the Soul,"JLN Marg, Jaipur, Rajasthan",908771,0,216991,http://pbs.twimg.com/profile_images/1222581491433033728/cAJ27snS_normal.jpg
6,Sat Sep 24 11:00:02 +0000 2022,1573628318351360000,Liverpool.com,"Anfield may have just got first wonderkid glimpse as #LFC should copy Man City transfer 🔴✍️

https://t.co/7NpZxJBM4Q","Written, audio & video content for #LFC fans everywhere! 🔴✍🏼🎙️🌍

⭕ https://t.co/lo43QaNCNv 🗞️
⭕ https://t.co/NIeVBuSqnd 👍
⭕ https://t.co/B7RQBKd9To 🎥",Liverpool,20310,375,43967,http://pbs.twimg.com/profile_images/1133429755154444289/OpMNqlFP_normal.jpg
7,Sat Sep 24 11:00:02 +0000 2022,1573628316904435713,Chelsea FC News,"Sergio Ramos, Dani Alves, Ivan Rakitic. The list goes on as #Chelsea have good reason to look at their next Sportin… https://t.co/ueXun2Iqii","All the latest Chelsea news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/BMoCoDImls…","London, England",276509,770,153326,http://pbs.twimg.com/profile_images/1298603485823479809/yjHKQDPi_normal.jpg
8,Sat Sep 24 10:58:48 +0000 2022,1573628009172574208,apple orchard by beach house,"Ban mid-season transfer ""news""",,,165,133,59,http://pbs.twimg.com/profile_images/1573101801825570820/batwaG8g_normal.jpg
9,Sat Sep 24 10:57:36 +0000 2022,1573627704620056578,Leo Olive,Kastellio Vaughan Transfer To New Facility (Update) https://t.co/0QAmqitFKy,"Model & Founder 💓 I am a Founder of a NEWS site, where we provide latest news updates with my team. follow us to get every latest news.",United States,68,2,100571,http://pbs.twimg.com/profile_images/1572130719153156098/EjKlo5z8_normal.jpg
