,Created at,User ID,Label,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
0,Sat Sep 24 11:05:00 +0000 2022,1.57363E+18,1,Man United News,"Manchester United could have found their long term replacement for Christian Eriksen #mufc 
https://t.co/aoPF3aHCak",💻 𝗙𝗮𝗰𝗲𝗯𝗼𝗼𝗸: https://t.co/rHu3ZrxBlJ      🎙𝗣𝗼𝗱𝗰𝗮𝘀𝘁: https://t.co/a22FvEytNQ,"Manchester, UK",1293823,352,273546,http://pbs.twimg.com/profile_images/1045658874773229570/krncu7XV_normal.jpg
1,Sat Sep 24 11:04:04 +0000 2022,1.57363E+18,1,$NDEV,Investor Sues Korean Crypto Exchange for Delaying Coin Transfer Before Luna Crash https://t.co/M1i5X2wOEN #daytrade… https://t.co/htL8xL5l8T,Health Plans that include cannabis for the med and rec user. $NDEV #CannabisHealthPlan,,6515,8620,112021,http://pbs.twimg.com/profile_images/1567182287216812040/JpBhdLe1_normal.jpg
4,Sat Sep 24 11:00:14 +0000 2022,1.57363E+18,0,LFCNews,Liverpool will 'continue to monitor' Â£50m-rated midfielder who has  hinted at transfer interest (Echo) https://t.co/iJX67cWILz,,,3384,33,230032,http://pbs.twimg.com/profile_images/57179285/liverpool_normal.jpg
6,Sat Sep 24 11:00:02 +0000 2022,1.57363E+18,0,Liverpool.com,"Anfield may have just got first wonderkid glimpse as #LFC should copy Man City transfer 🔴✍️

https://t.co/7NpZxJBM4Q","Written, audio & video content for #LFC fans everywhere! 🔴✍🏼🎙️🌍

⭕ https://t.co/lo43QaNCNv 🗞️
⭕ https://t.co/NIeVBuSqnd 👍
⭕ https://t.co/B7RQBKd9To 🎥",Liverpool,20310,375,43967,http://pbs.twimg.com/profile_images/1133429755154444289/OpMNqlFP_normal.jpg
7,Sat Sep 24 11:00:02 +0000 2022,1.57363E+18,0,Chelsea FC News,"Sergio Ramos, Dani Alves, Ivan Rakitic. The list goes on as #Chelsea have good reason to look at their next Sportin… https://t.co/ueXun2Iqii","All the latest Chelsea news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/BMoCoDImls…","London, England",276509,770,153326,http://pbs.twimg.com/profile_images/1298603485823479809/yjHKQDPi_normal.jpg
9,Sat Sep 24 10:57:36 +0000 2022,1.57363E+18,0,Leo Olive,Kastellio Vaughan Transfer To New Facility (Update) https://t.co/0QAmqitFKy,"Model & Founder 💓 I am a Founder of a NEWS site, where we provide latest news updates with my team. follow us to get every latest news.",United States,68,2,100571,http://pbs.twimg.com/profile_images/1572130719153156098/EjKlo5z8_normal.jpg
10,Sat Sep 24 10:57:32 +0000 2022,1.57363E+18,0,Rekib Uddin,Kastellio Vaughan Transfer To New Facility (Update) https://t.co/XBk8nFHBuV,"🛡️Entrepreneur.
👨‍💻Web developer.
🛍️Running 4 ecommerce website.
🎂®o¥al £nt®¥1️⃣7️⃣ jåñ.
🔖 Instagra➡️#rekib.insta
🏷️Linkedin➡️#rekib-uddin
🌐Check my web",India,994,44,97851,http://pbs.twimg.com/profile_images/1537146860523356160/00o2Om8I_normal.jpg
13,Sat Sep 24 10:55:04 +0000 2022,1.57363E+18,0,LFCMAGAZINE,[Media: Liverpool Echo] Liverpool will 'continue to monitor' £50m-rated midfielder who has hinted at transfer inter… https://t.co/3wY4WayfQ1,"Liverpool Football Club [Digital Edition] Mixing LFC news with YOUR information, opinion, tweets and discussion regarding Liverpool Football Club.",Liverpool,83880,71086,140235,http://pbs.twimg.com/profile_images/937729107579817985/dkHAhE8s_normal.jpg
15,Sat Sep 24 10:45:00 +0000 2022,1.57362E+18,1,Liverpool FC News,"Special talent who signed too late #LFC 

https://t.co/tzZYMjnwT3","Liverpool FC news from the Liverpool ECHO. #LFC
Facebook - https://t.co/BJgwK08gjK
YouTube - https://t.co/R3PN4hgovs
News - https://t.co/wXcaxuC3bG",Liverpool,960387,646,461773,http://pbs.twimg.com/profile_images/1551488983363878913/ppKHk866_normal.jpg
16,Sat Sep 24 10:38:52 +0000 2022,1.57362E+18,1,PSL News 🇿🇦 ⚽ ZA,"Orlando Pirates legend and ex-Kaizer Chief star still available to be signed

https://t.co/2kmBDGrKP5… https://t.co/DX4XO5is8s","The latest news, highlights and reviews from the South African Premier Soccer League and more...  
#psl #pslnews #pslnewsza #pslhighlights #safanews 🇿🇦 ⚽",South Africa,11432,8127,76384,http://pbs.twimg.com/profile_images/582574865003122689/p-z0PnaD_normal.png
17,Sat Sep 24 10:38:05 +0000 2022,1.57362E+18,0,EPL Seasons,Chelsea transfer news: Why Christian Pulisic wanted Juventus move https://t.co/GYs7cHIxmt,"Premier League, Champions League, World Football & Transfer News.",Worldwide,1599,29,1441,http://pbs.twimg.com/profile_images/1564385386528399361/MVObl6Qn_normal.jpg
18,Sat Sep 24 10:38:05 +0000 2022,1.57362E+18,0,Football Journal,📰Manchester United could be a 'possible destination' for Lazio midfielder Sergej Milinkovic-Savic in next summer's… https://t.co/IkZ0ANN7n0,Interested with football and statistics.,,19,36,12,http://pbs.twimg.com/profile_images/1572228262092312576/s-fLM72Z_normal.jpg
19,Sat Sep 24 10:37:14 +0000 2022,1.57362E+18,0,Liverpool Live,Allan transfer rumours emerge as Celtic boss shares personal Everton motivation https://t.co/QcjsjnC27F,"All the latest notable events, weather and sport from across Merseyside.","Liverpool, UK",124,102,20934,http://pbs.twimg.com/profile_images/1572255517220675587/-GldNYM2_normal.jpg
20,Sat Sep 24 10:36:41 +0000 2022,1.57362E+18,0,Sports Informer,Dan Ashworth may now have to rip up January transfer plans after big news emerges https://t.co/TKa2OZVAVy,Transfer news & gossip from the Premier League & beyond. Updates every 40 minutes.  Sports StartUp,"Reading, UK",171,97,208488,http://pbs.twimg.com/profile_images/1307557569418997763/2daCFXvp_normal.jpg
23,Sat Sep 24 10:30:43 +0000 2022,1.57362E+18,1,Liverpool FC News,"Jurgen Klopp made error with Liverpool player as £5m transfer felt pushed out by Thiago #LFC

https://t.co/obHUO45rSV","Liverpool FC news from the Liverpool ECHO. #LFC
Facebook - https://t.co/BJgwK08gjK
YouTube - https://t.co/R3PN4hgovs
News - https://t.co/wXcaxuC3bG",Liverpool,960387,646,461773,http://pbs.twimg.com/profile_images/1551488983363878913/ppKHk866_normal.jpg
